00:00:02,05 | L
00:00:02,77 | R
00:00:03,70 | L
00:00:04,57 | R
00:00:05,57 | L
00:00:06,50 | R
00:00:07,47 | L
00:00:08,40 | R
00:00:09,39 | L
00:00:10,28 | R
00:00:11,20 | L
00:00:12,15 | R
00:00:13,16 | L
00:00:14,12 | R
00:00:15,02 | L
00:00:15,93 | R
00:00:16,89 | L
00:00:17,82 | R
00:00:18,73 | L
00:00:19,71 | R
00:00:20,57 | L
00:00:21,51 | R
00:00:22,46 | L
00:00:23,41 | R
00:00:24,48 | R
00:00:25,39 | L
00:00:26,33 | L
00:00:27,26 | R
00:00:28,17 | R
00:00:29,14 | L
00:00:30,03 | L
00:00:30,30 | R
00:00:30,64 | L
00:00:31,60 | L
00:00:32,55 | R
00:00:33,05 | R
00:00:33,88 | L
00:00:34,80 | R
00:00:35,64 | L
00:00:36,70 | R
00:00:37,58 | L
00:00:38,43 | R
00:00:39,48 | L
00:00:40,46 | R
00:00:41,45 | L
00:00:42,43 | R
00:00:43,36 | L
00:00:44,26 | R
00:00:45,26 | L
00:00:46,20 | R
00:00:47,08 | L
00:00:48,06 | L
00:00:48,97 | R
00:00:49,92 | R
00:00:50,85 | L
00:00:51,83 | L
00:00:52,76 | R
00:00:53,72 | R
00:00:54,68 | L
00:00:55,59 | R
00:00:56,53 | L
00:00:57,40 | R
00:00:58,37 | L
00:00:59,33 | R
00:01:00,25 | L
00:01:01,25 | L
00:01:02,70 | R
00:01:04,45 | R
00:01:05,50 | L
00:01:06,04 | R
00:01:06,50 | L
00:01:06,96 | R
00:01:07,86 | L
00:01:08,39 | R
00:01:08,86 | L
00:01:09,75 | L
00:01:10,71 | R
00:01:11,67 | L
00:01:12,57 | R
00:01:13,49 | L
00:01:14,44 | R
00:01:15,38 | L
00:01:16,34 | R
00:01:17,81 | L
00:01:19,62 | R
00:01:20,64 | L
00:01:21,10 | R
00:01:21,60 | L
00:01:22,00 | R
00:01:22,86 | L
00:01:23,20 | L
00:01:23,49 | R
00:01:24,42 | L
00:01:25,31 | R
00:01:26,23 | L
00:01:27,25 | R
00:01:28,22 | L
00:01:29,12 | R
00:01:30,06 | L
00:01:30,99 | R
00:01:31,92 | L
00:01:32,78 | R
00:01:33,76 | L
00:01:34,71 | R
00:01:35,70 | L
00:01:36,64 | R
00:01:37,65 | L
00:01:38,54 | R
00:01:39,10 | L
00:01:39,56 | R
00:01:40,52 | L
00:01:41,42 | R
00:01:42,45 | L
00:01:43,31 | R
00:01:44,24 | L
00:01:45,17 | R
00:01:45,68 | L
00:01:46,09 | R
00:01:46,50 | L
00:01:47,83 | R
00:01:48,98 | L
00:01:49,89 | R
00:01:50,86 | L
00:01:51,30 | R
00:01:51,76 | L
00:01:52,20 | R
00:01:52,64 | L
00:01:54,64 | L
00:01:55,20 | R
00:01:55,59 | L
00:01:56,01 | R
00:01:58,48 | L
00:01:59,32 | R
00:02:00,24 | L
00:02:01,17 | R
00:02:01,64 | R
00:02:02,13 | R
00:02:03,11 | L
00:02:04,05 | R
00:02:04,99 | L
00:02:05,47 | L
00:02:05,90 | L
00:02:06,84 | R
00:02:07,78 | L
00:02:08,68 | R
00:02:09,17 | R
00:02:09,64 | R
00:02:10,60 | L
00:02:11,54 | R
00:02:12,53 | L
00:02:13,83 | L
00:02:14,78 | R
00:02:15,76 | R
00:02:16,75 | R
00:02:17,66 | L
00:02:18,57 | L
00:02:19,56 | R
00:02:20,51 | R
00:02:21,49 | L
00:02:22,41 | L
00:02:23,33 | R
00:02:24,25 | R
00:02:25,25 | L
00:02:26,18 | L
00:02:27,49 | R
00:02:28,99 | L
00:02:29,95 | R
00:02:30,90 | L
00:02:31,78 | R
00:02:32,76 | L
00:02:33,70 | R
00:02:34,70 | L
00:02:35,66 | R
00:02:36,55 | L
00:02:37,55 | R
00:02:38,50 | L
00:02:39,44 | R
00:02:40,37 | L
00:02:41,30 | R
00:02:42,31 | L
00:02:43,74 | R
00:02:45,51 | L
00:02:48,41 | R
00:02:50,09 | L
00:02:55,02 | L
00:02:55,90 | R
00:02:56,43 | L
00:02:56,93 | R
00:02:57,79 | L
00:02:58,70 | R
00:02:59,66 | L
00:03:00,64 | R
00:03:01,55 | L
00:03:02,53 | R
00:03:03,92 | L
00:03:04,87 | R
00:03:05,86 | L
00:03:06,78 | L
00:03:07,62 | L
00:03:08,56 | R
00:03:09,57 | L
00:03:10,50 | L
00:03:11,45 | R
00:03:12,38 | L
00:03:13,34 | R
00:03:14,30 | L
00:03:15,21 | R
00:03:16,14 | L
00:03:17,11 | R
00:03:18,03 | L
00:03:19,00 | R
00:03:19,95 | L
00:03:20,94 | R
00:03:21,89 | L
00:03:22,79 | R
00:03:23,79 | L
00:03:24,68 | R
00:03:25,62 | L
00:03:26,59 | R
00:03:27,53 | L
00:03:28,89 | L
00:03:29,44 | L
00:03:30,50 | R
00:03:31,36 | R
00:03:33,46 | L
00:03:34,75 | R
00:03:36,07 | L
00:03:37,03 | R
00:03:40,28 | L
00:03:40,74 | L
00:03:41,20 | L
00:03:41,62 | L
00:03:42,54 | R
00:03:43,05 | R
00:03:43,51 | R
00:03:44,53 | L
00:03:44,98 | L
00:03:45,38 | L
00:03:47,37 | R
00:03:49,61 | L
00:03:50,16 | R
00:03:50,62 | L
00:03:51,16 | R
00:03:51,64 | L
00:03:52,04 | L
00:03:52,55 | R
00:03:53,01 | R
00:03:53,42 | L
00:03:53,97 | L
00:03:55,37 | R
00:03:55,93 | L
00:03:56,35 | R
00:03:56,79 | L
00:03:57,26 | R
00:03:58,23 | L
00:03:58,95 | L
00:03:59,92 | R
00:04:00,99 | L
00:04:01,51 | R
00:04:01,99 | L
00:04:02,46 | R
